,Date,Portfolio_Value,Capital,Position_Value,Shares,Peak,Drawdown,Daily_Return
577,2025-03-07,23527.331296920776,6514.911672592163,17012.419624328613,2462,24255.391319274902,-3.001642038137568,0.6318319682781848
578,2025-03-10,23527.331296920776,6514.911672592163,17012.419624328613,2462,24255.391319274902,-3.001642038137568,0.0
579,2025-03-11,23527.331296920776,6514.911672592163,17012.419624328613,2462,24255.391319274902,-3.001642038137568,0.0
580,2025-03-12,23404.232001304626,6514.911672592163,16889.320328712463,2462,24255.391319274902,-3.5091551678817474,-0.5232182692656684
581,2025-03-13,23059.551156044006,6514.911672592163,16544.639483451843,2462,24255.391319274902,-4.930203547285606,-1.4727287152229818
582,2025-03-14,22641.012142181396,6514.911672592163,16126.100469589233,2462,24255.391319274902,-6.655753996475893,-1.8150353882881554
583,2025-03-17,23010.31120300293,6514.911672592163,16495.399530410767,2462,24255.391319274902,-5.13320976719329,1.6311066771326432
584,2025-03-18,23034.93176651001,6514.911672592163,16520.020093917847,2462,24255.391319274902,-5.031704237214415,0.10699795969673076
585,2025-03-19,23305.752095222473,6514.911672592163,16790.84042263031,2462,24255.391319274902,-3.915167607697116,1.1756940782702952
586,2025-03-20,23207.27218914032,6514.911672592163,16692.360516548157,2462,24255.391319274902,-4.3211800475124855,-0.42255622423076344
587,2025-03-21,23158.032236099243,6514.911672592163,16643.12056350708,2462,24255.391319274902,-4.52418626742017,-0.21217466938712182
588,2025-03-24,23108.791109085083,6514.911672592163,16593.87943649292,2462,24255.391319274902,-4.727197327377921,-0.21263087689031845
589,2025-03-25,22911.831296920776,6514.911672592163,16396.919624328613,2462,24255.391319274902,-5.53922220700866,-0.8523155159201434
590,2025-03-26,23551.951860427856,6514.911672592163,17037.040187835693,2462,24255.391319274902,-2.9001365081586927,2.7938428631547607
591,2025-03-27,23650.43176651001,6514.911672592163,17135.520093917847,2462,24255.391319274902,-2.4941240683433237,0.4181390428519949
592,2025-03-28,23748.911672592163,6514.911672592163,17234.0,2462,24255.391319274902,-2.0881116285279546,0.4163979205724422
593,2025-03-31,24093.5913438797,6514.911672592163,17578.679671287537,2462,24255.391319274902,-0.6670680891741619,1.4513493335583938
594,2025-04-01,23872.012142181396,6514.911672592163,17357.100469589233,2462,24255.391319274902,-1.58059365873371,-0.9196603301507733
595,2025-04-02,24413.65162563324,6514.911672592163,17898.739953041077,2462,24413.65162563324,0.0,2.2689309984673445
596,2025-04-03,24462.891578674316,6514.911672592163,17947.979906082153,2462,24462.891578674316,0.0,0.2016902419848421
597,2025-04-07,22911.831296920776,6514.911672592163,16396.919624328613,2462,24462.891578674316,-6.3404617429024075,-6.340461742902404
598,2025-04-08,23084.171719551086,6514.911672592163,16569.260046958923,2462,24462.891578674316,-5.635964394025839,0.7521896455892296
599,2025-04-09,22567.15162563324,6514.911672592163,16052.239953041077,2462,24462.891578674316,-7.7494516416599755,-2.2397168943252943
600,2025-04-10,23158.032236099243,6514.911672592163,16643.12056350708,2462,24462.891578674316,-5.334035587651432,2.6183216219225702
601,2025-04-11,23059.551156044006,6514.911672592163,16544.639483451843,2462,24462.891578674316,-5.736608929149165,-0.4252566843815142
602,2025-04-14,23379.611437797546,6514.911672592163,16864.699765205383,2462,24462.891578674316,-4.428258766519353,1.3879727302049005
603,2025-04-15,23798.15162563324,6514.911672592163,17283.239953041077,2462,24462.891578674316,-2.7173400613873793,1.790193087465286
604,2025-04-16,23675.051156044006,6514.911672592163,17160.139483451843,2462,24462.891578674316,-3.2205531390128677,-0.517269036376089
605,2025-04-17,23158.032236099243,6514.911672592163,16643.12056350708,2462,24462.891578674316,-5.334035587651432,-2.183813316968375
606,2025-04-22,23182.65162563324,6514.911672592163,16667.739953041077,2462,24462.891578674316,-5.233395851523677,0.10631036904602542
607,2025-04-23,23601.191813468933,6514.911672592163,17086.28014087677,2462,24462.891578674316,-3.522477146391703,1.805402568241643
608,2025-04-24,23650.43176651001,6514.911672592163,17135.520093917847,2462,24462.891578674316,-3.3211928751406226,0.20863333271574636
609,2025-04-25,23404.232001304626,6514.911672592163,16889.320328712463,2462,24462.891578674316,-4.327614231396027,-1.0409948014311166
610,2025-04-28,23551.951860427856,6514.911672592163,17037.040187835693,2462,24462.891578674316,-3.723761417642784,0.631167299636215
611,2025-04-29,23576.571249961853,6514.911672592163,17061.65957736969,2462,24462.891578674316,-3.623121681515029,0.10453226840769769
612,2025-04-30,23601.191813468933,6514.911672592163,17086.28014087677,2462,24462.891578674316,-3.522477146391703,0.10442809196489211
613,2025-05-02,23527.331296920776,6514.911672592163,17012.419624328613,2462,24462.891578674316,-3.82440595276611,-0.31295248617912996
614,2025-05-06,23724.291109085083,6514.911672592163,17209.37943649292,2462,24462.891578674316,-3.0192688677617863,0.8371532226865153
615,2025-05-07,23921.252095222473,6514.911672592163,17406.34042263031,2462,24462.891578674316,-2.214126983761891,0.8302080986603899
616,2025-05-08,24216.691813468933,6514.911672592163,17701.78014087677,2462,24462.891578674316,-1.006421356255405,1.235051230054407
617,2025-05-09,23379.611437797546,6514.911672592163,16864.699765205383,2462,24462.891578674316,-4.428258766519353,-3.4566256287979713
618,2025-05-12,23354.99204826355,6514.911672592163,16840.080375671387,2462,24462.891578674316,-4.528898502647108,-0.10530281736930158
619,2025-05-13,23281.131531715393,6514.911672592163,16766.21985912323,2462,24462.891578674316,-4.830827309021515,-0.31625151657308503
620,2025-05-14,22985.691813468933,6514.911672592163,16470.78014087677,2462,24462.891578674316,-6.038532936528001,-1.2690092740723857
621,2025-05-15,23010.31120300293,6514.911672592163,16495.399530410767,2462,24462.891578674316,-5.9378932004002465,0.10710745508024644
622,2025-05-16,22961.071249961853,6514.911672592163,16446.15957736969,2462,24462.891578674316,-6.139177471651328,-0.2139908174499161
623,2025-05-19,22887.21190738678,6514.911672592163,16372.300234794617,2462,24462.891578674316,-6.441101479030163,-0.32167202379634885
624,2025-05-20,23281.131531715393,6514.911672592163,16766.21985912323,2462,24462.891578674316,-4.830827309021515,1.7211341683845527
625,2025-05-21,23305.752095222473,6514.911672592163,16790.84042263031,2462,24462.891578674316,-4.730182773898188,0.1057532941366679
626,2025-05-22,23650.43176651001,6514.911672592163,17135.520093917847,2462,24462.891578674316,-3.3211928751406226,1.4789467848076665
627,2025-05-23,24019.732001304626,6514.911672592163,17504.820328712463,2462,24462.891578674316,-1.811558441259729,1.5614946840740496
628,2025-05-26,23822.77218914032,6514.911672592163,17307.860516548157,2462,24462.891578674316,-2.6166955262640528,-0.8199917141190838
629,2025-05-27,24044.351390838623,6514.911672592163,17529.43971824646,2462,24462.891578674316,-1.710918705131974,0.9301151013789699
630,2025-05-28,24068.971954345703,6514.911672592163,17554.06028175354,2462,24462.891578674316,-1.6102741700086478,0.10239645522922558
631,2025-05-29,24044.351390838623,6514.911672592163,17529.43971824646,2462,24462.891578674316,-1.710918705131974,-0.10229171214201083
632,2025-05-30,24339.791109085083,6514.911672592163,17824.87943649292,2462,24462.891578674316,-0.5032130776254882,1.2287281675605
633,2025-06-02,24364.411672592163,6514.911672592163,17849.5,2462,24462.891578674316,-0.40256854250216195,0.10115355303066398
634,2025-06-03,24438.27218914032,6514.911672592163,17923.360516548157,2462,24462.891578674316,-0.1006397361277548,0.303149189648777
635,2025-06-04,24462.891578674316,6514.911672592163,17947.979906082153,2462,24462.891578674316,0.0,0.10074112172684391
636,2025-06-05,24413.65162563324,6514.911672592163,17898.739953041077,2462,24462.891578674316,-0.20128427125108098,-0.20128427125107873
637,2025-06-06,24610.611437797546,6514.911672592163,18095.699765205383,2462,24610.611437797546,0.0,0.8067609679393684
638,2025-06-09,24709.0913438797,6514.911672592163,18194.179671287537,2462,24709.0913438797,0.0,0.4001522121100498
639,2025-06-10,24906.051156044006,6514.911672592163,18391.139483451843,2462,24906.051156044006,0.0,0.7971147519072685
640,2025-06-11,25029.15162563324,6514.911672592163,18514.239953041077,2462,25029.15162563324,0.0,0.4942592818828251
641,2025-06-12,25152.252095222473,6514.911672592163,18637.34042263031,2462,25152.252095222473,0.0,0.4918283744909768
642,2025-06-13,25029.15162563324,6514.911672592163,18514.239953041077,2462,25152.252095222473,-0.48942126185438334,-0.4894212618543836
643,2025-06-16,25127.631531715393,6514.911672592163,18612.71985912323,2462,25152.252095222473,-0.09788611935770401,0.3934608234235748
644,2025-06-17,24635.232001304626,6514.911672592163,18120.320328712463,2462,25152.252095222473,-2.055561831841101,-1.9595938828905313
645,2025-06-18,24832.191813468933,6514.911672592163,18317.28014087677,2462,25152.252095222473,-1.272491546847742,0.7995045963191005
646,2025-06-19,24290.551156044006,6514.911672592163,17775.639483451843,2462,25152.252095222473,-3.4259394980465463,-2.181203582404445
647,2025-06-20,24536.752095222473,6514.911672592163,18021.84042263031,2462,25152.252095222473,-2.44709697433778,1.0135667058225994
648,2025-06-23,24585.99204826355,6514.911672592163,18071.080375671387,2462,25152.252095222473,-2.25132940308944,0.2006783654576072
649,2025-06-24,25029.15162563324,6514.911672592163,18514.239953041077,2462,25152.252095222473,-0.48942126185438334,1.8024880854909053
